date,year,mo,meanTemp
1858/10,1858,10,-0.2126363636363636
1858/11,1858,11,-0.6438181818181818
1858/12,1858,12,-0.30327272727272725
1859/01,1859,01,-0.30727272727272725
1859/02,1859,02,-0.18881818181818177
1859/03,1859,03,-0.32899999999999996
1859/04,1859,04,-0.19354545454545455
1859/05,1859,05,-0.30909090909090914
1859/06,1859,06,-0.25081818181818183
1859/07,1859,07,-0.27609090909090916
1859/08,1859,08,-0.10236363636363635
1859/09,1859,09,-0.5656363636363637
1859/10,1859,10,-0.25072727272727274
1859/11,1859,11,-0.315909090909091
1859/12,1859,12,-0.3640909090909091
1860/01,1860,01,-0.18127272727272725
1860/02,1860,02,-0.4258181818181818
1860/03,1860,03,-0.6451818181818182
1860/04,1860,04,-0.3318181818181818
1860/05,1860,05,-0.29636363636363633
1860/06,1860,06,-0.3107272727272728
1860/07,1860,07,-0.11027272727272726
1860/08,1860,08,-0.18227272727272725
1860/09,1860,09,-0.21627272727272728
1860/10,1860,10,-0.19727272727272727
1860/11,1860,11,-0.5163636363636365
1860/12,1860,12,-0.765909090909091
1861/01,1861,01,-0.8947272727272726
1861/02,1861,02,-0.5093636363636365
1861/03,1861,03,-0.46663636363636374
1861/04,1861,04,-0.3859090909090909
1861/05,1861,05,-0.771090909090909
1861/06,1861,06,-0.1920909090909091
1861/07,1861,07,-0.22127272727272726
1861/08,1861,08,-0.09563636363636364
1861/09,1861,09,-0.3314545454545454
1861/10,1861,10,-0.366
1861/11,1861,11,-0.42054545454545456
1861/12,1861,12,-0.24936363636363634
1862/01,1862,01,-0.7438181818181818
1862/02,1862,02,-0.7812727272727273
1862/03,1862,03,-0.40563636363636363
1862/04,1862,04,-0.23781818181818182
1862/05,1862,05,-0.22809090909090912
1862/06,1862,06,-0.3364545454545455
1862/07,1862,07,-0.3471818181818182
1862/08,1862,08,-0.7025454545454546
1862/09,1862,09,-0.42109090909090907
1862/10,1862,10,-0.4234545454545455
1862/11,1862,11,-0.7704545454545453
1862/12,1862,12,-0.8900909090909092
1863/01,1863,01,0.12236363636363637
1863/02,1863,02,-0.025454545454545455
1863/03,1863,03,-0.3678181818181818
1863/04,1863,04,-0.24327272727272728
1863/05,1863,05,-0.33209090909090916
1863/06,1863,06,-0.40372727272727277
1863/07,1863,07,-0.42572727272727273
1863/08,1863,08,-0.32736363636363647
1863/09,1863,09,-0.3175454545454546
1863/10,1863,10,-0.38718181818181824
1863/11,1863,11,-0.3313636363636364
1863/12,1863,12,-0.3423636363636364
1864/01,1864,01,-0.9416363636363637
1864/02,1864,02,-0.6335454545454545
1864/03,1864,03,-0.5087272727272727
1864/04,1864,04,-0.5481818181818183
1864/05,1864,05,-0.45854545454545453
1864/06,1864,06,-0.16745454545454544
1864/07,1864,07,-0.1622727272727273
1864/08,1864,08,-0.3145454545454545
1864/09,1864,09,-0.44763636363636367
1864/10,1864,10,-0.7093636363636364
1864/11,1864,11,-0.474
1864/12,1864,12,-0.6164545454545455
1865/01,1865,01,-0.10309090909090908
1865/02,1865,02,-0.6173636363636364
1865/03,1865,03,-0.6487272727272727
1865/04,1865,04,-0.23636363636363633
1865/05,1865,05,-0.2690909090909091
1865/06,1865,06,-0.28763636363636363
1865/07,1865,07,-0.13681818181818184
1865/08,1865,08,-0.21327272727272728
1865/09,1865,09,-0.08781818181818184
1865/10,1865,10,-0.277
1865/11,1865,11,-0.20454545454545456
1865/12,1865,12,-0.34454545454545454
1866/01,1866,01,0.03436363636363637
1866/02,1866,02,-0.2211818181818182
1866/03,1866,03,-0.5988181818181818
1866/04,1866,04,-0.2702727272727273
1866/05,1866,05,-0.5357272727272728
1866/06,1866,06,0.09300000000000001
1866/07,1866,07,0.01554545454545455
1866/08,1866,08,-0.2752727272727273
1866/09,1866,09,-0.2336363636363636
1866/10,1866,10,-0.4287272727272727
1866/11,1866,11,-0.31200000000000006
1866/12,1866,12,-0.33963636363636357
1867/01,1867,01,-0.31609090909090903
1867/02,1867,02,0.004363636363636367
1867/03,1867,03,-0.7171818181818183
1867/04,1867,04,-0.26890909090909093
1867/05,1867,05,-0.5497272727272727
1867/06,1867,06,-0.30754545454545457
1867/07,1867,07,-0.24845454545454543
1867/08,1867,08,-0.2373636363636364
1867/09,1867,09,-0.10536363636363634
1867/10,1867,10,-0.18927272727272726
1867/11,1867,11,-0.31818181818181823
1867/12,1867,12,-0.6325454545454545
1868/01,1868,01,-0.705
1868/02,1868,02,-0.47409090909090906
1868/03,1868,03,-0.08372727272727275
1868/04,1868,04,-0.382
1868/05,1868,05,-0.08436363636363638
1868/06,1868,06,-0.18254545454545454
1868/07,1868,07,0.13536363636363635
1868/08,1868,08,-0.046363636363636364
1868/09,1868,09,-0.20463636363636362
1868/10,1868,10,-0.23927272727272728
1868/11,1868,11,-0.5086363636363637
1868/12,1868,12,-0.13454545454545455
1869/01,1869,01,-0.25336363636363635
1869/02,1869,02,0.2523636363636364
1869/03,1869,03,-0.5925454545454546
1869/04,1869,04,-0.22127272727272726
1869/05,1869,05,-0.28290909090909094
1869/06,1869,06,-0.37872727272727275
1869/07,1869,07,-0.2956363636363636
1869/08,1869,08,-0.086
1869/09,1869,09,-0.19481818181818183
1869/10,1869,10,-0.4188181818181818
1869/11,1869,11,-0.3727272727272728
1869/12,1869,12,-0.3590909090909091
1870/01,1870,01,-0.08327272727272728
1870/02,1870,02,-0.4568181818181818
1870/03,1870,03,-0.4010909090909091
1870/04,1870,04,-0.2049090909090909
1870/05,1870,05,-0.17027272727272724
1870/06,1870,06,-0.21790909090909089
1870/07,1870,07,0.017727272727272734
1870/08,1870,08,-0.26136363636363635
1870/09,1870,09,-0.26545454545454544
1870/10,1870,10,-0.4044545454545455
1870/11,1870,11,-0.169
1870/12,1870,12,-0.722090909090909
1871/01,1871,01,-0.5297272727272728
1871/02,1871,02,-0.5489999999999999
1871/03,1871,03,0.000636363636363637
1871/04,1871,04,-0.1390909090909091
1871/05,1871,05,-0.31145454545454543
1871/06,1871,06,-0.2238181818181818
1871/07,1871,07,-0.013545454545454548
1871/08,1871,08,-0.2220909090909091
1871/09,1871,09,-0.4544545454545455
1871/10,1871,10,-0.48309090909090907
1871/11,1871,11,-0.5387272727272726
1871/12,1871,12,-0.5650000000000001
1872/01,1872,01,-0.31154545454545457
1872/02,1872,02,-0.40736363636363637
1872/03,1872,03,-0.4725454545454546
1872/04,1872,04,-0.14863636363636362
1872/05,1872,05,-0.043818181818181826
1872/06,1872,06,-0.20727272727272725
1872/07,1872,07,-0.11245454545454546
1872/08,1872,08,-0.028727272727272723
1872/09,1872,09,-0.12754545454545452
1872/10,1872,10,-0.22790909090909092
1872/11,1872,11,-0.24363636363636365
1872/12,1872,12,-0.42781818181818176
1873/01,1873,01,-0.03118181818181819
1873/02,1873,02,-0.34681818181818175
1873/03,1873,03,-0.293
1873/04,1873,04,-0.5239090909090909
1873/05,1873,05,-0.41427272727272724
1873/06,1873,06,-0.2579090909090909
1873/07,1873,07,-0.14881818181818182
1873/08,1873,08,-0.1590909090909091
1873/09,1873,09,-0.35436363636363627
1873/10,1873,10,-0.4011818181818182
1873/11,1873,11,-0.463
1873/12,1873,12,-0.2728181818181818
1874/01,1874,01,0.06163636363636365
1874/02,1874,02,-0.4384545454545455
1874/03,1874,03,-0.559
1874/04,1874,04,-0.503
1874/05,1874,05,-0.46827272727272723
1874/06,1874,06,-0.45827272727272733
1874/07,1874,07,-0.16963636363636364
1874/08,1874,08,-0.3648181818181818
1874/09,1874,09,-0.205
1874/10,1874,10,-0.43454545454545457
1874/11,1874,11,-0.5000909090909091
1874/12,1874,12,-0.4046363636363636
1875/01,1875,01,-0.5717272727272728
1875/02,1875,02,-0.5990909090909091
1875/03,1875,03,-0.5993636363636363
1875/04,1875,04,-0.46636363636363637
1875/05,1875,05,-0.17799999999999996
1875/06,1875,06,-0.23372727272727276
1875/07,1875,07,-0.3000909090909091
1875/08,1875,08,-0.18281818181818182
1875/09,1875,09,-0.27145454545454545
