year,region,avg_temp
2015,South America,21.81
2016,Africa,24.87
2016,Asia,19.33
2016,Caribbean,25.94
2016,Central America,25.34
2016,Europe,9.47
2016,North America,2.35
2016,Oceania,25.22
2016,South America,21.56
2017,Africa,24.7
2017,Asia,19.13
2017,Caribbean,25.81
2017,Central America,25.12
2017,Europe,9.42
2017,North America,1.82
2017,Oceania,25.16
2017,South America,21.62
2018,Africa,24.58
2018,Asia,19.32
2018,Caribbean,25.56
2018,Central America,24.68
2018,Europe,9.89
2018,North America,1.34
2018,Oceania,25.08
2018,South America,21.3
2019,Africa,24.67
2019,Asia,19.33
2019,Caribbean,25.89
2019,Central America,25.11
2019,Europe,9.95
2019,North America,1.6
2019,Oceania,25.09
2019,South America,21.57
2020,Africa,24.66
2020,Asia,19.19
2020,Caribbean,25.93
2020,Central America,25.32
2020,Europe,10.11
2020,North America,1.62
2020,Oceania,25.18
2020,South America,21.67
